,index,baud,tprop,fer,infosize,time,R,S,a
0,0,9600,0.0,0.0,256,12.682074785232544,6918.741726879912,0.7207022632166574,0.0
1,1,9600,0.0,0.0,512,12.15056586265564,7221.392072749325,0.752228340911388,0.0
2,3,9600,0.0,0.0,2048,39.454936027526855,2223.9042521519464,0.2316566929324944,0.0
3,4,9600,0.0,0.01,256,12.682848453521729,6918.319675706253,0.7206582995527347,0.0
4,5,9600,0.0,0.01,512,12.15120816230774,7221.010357815793,0.7521885789391451,0.0
5,7,9600,0.0,0.01,2048,39.4551157951355,2223.894119474822,0.231655637445294,0.0
6,8,9600,0.0,0.05,256,16.969876050949097,5170.574006348893,0.5386014589946764,0.0
7,9,9600,0.0,0.05,512,12.150983095169067,7221.144109309547,0.7522025113864111,0.0
8,11,9600,0.0,0.05,2048,39.45498466491699,2223.9015106758147,0.23165640736206403,0.0
9,12,9600,0.0,0.1,256,18.969096660614014,4625.6288093140965,0.4818363343035517,0.0
10,13,9600,0.0,0.1,512,14.70930290222168,5965.204509232536,0.6213754697117225,0.0
11,16,9600,0.2,0.0,256,32.084832191467285,2734.7501609603196,0.2848698084333666,0.9375
12,17,9600,0.2,0.0,512,22.752318620681763,3856.486077873447,0.401717299778484,0.46875
13,19,9600,0.2,0.0,2048,36.05259132385254,2433.7778999521797,0.2535185312450187,0.1171875
14,20,9600,0.2,0.01,256,32.0845959186554,2734.7702998179807,0.28487190623103964,0.9375
15,21,9600,0.2,0.01,512,22.752227306365967,3856.501555583951,0.4017189120399949,0.46875
16,23,9600,0.2,0.01,2048,36.05267214775085,2433.7724438401697,0.25351796290001766,0.1171875
17,24,9600,0.2,0.05,256,32.77039670944214,2677.5385350986094,0.2789102640727718,0.9375
18,27,9600,0.2,0.05,2048,36.052961111068726,2433.752937232705,0.2535159309617401,0.1171875
19,29,9600,0.2,0.1,512,25.613436222076416,3425.702011992158,0.35684395958251647,0.46875
20,32,9600,1.0,0.0,256,94.32876896858215,930.1934177602241,0.09689514768335668,4.6875
21,33,9600,1.0,0.0,512,50.58649373054504,1734.5341321218827,0.18068063876269613,2.34375
22,35,9600,1.0,0.0,2048,44.719093561172485,1962.1149046765127,0.20438696923713673,0.5859375
23,36,9600,1.0,0.01,256,95.3282871246338,920.4403293775962,0.09587920097683293,4.6875
24,37,9600,1.0,0.01,512,50.58734130859375,1734.5050704432672,0.180677611504507,2.34375
25,39,9600,1.0,0.01,2048,44.71956515312195,1962.0942131158993,0.2043848138662395,0.5859375
26,40,9600,1.0,0.05,256,95.3029191493988,920.6853345431184,0.0959047223482415,4.6875
27,41,9600,1.0,0.05,512,50.58744740486145,1734.501432692724,0.18067723257215873,2.34375
28,45,9600,1.0,0.1,512,50.56314563751221,1735.33507248615,0.18076407005064063,2.34375
29,48,38400,0.0,0.0,256,3.202954053878784,27394.710796348085,0.7134039269882314,0.0
30,49,38400,0.0,0.0,512,3.050700187683105,28761.921723497304,0.7490083782160756,0.0
31,50,38400,0.0,0.0,1024,2.982435703277588,29420.24865903146,0.7661523088289443,0.0
32,51,38400,0.0,0.0,2048,2.9513967037200928,29729.653045083007,0.7742097147157033,0.0
33,52,38400,0.0,0.01,256,3.334048271179199,26317.5553750955,0.6853530045597787,0.0
34,53,38400,0.0,0.01,512,4.051628351211548,21656.4779377561,0.563970779629065,0.0
35,54,38400,0.0,0.01,1024,2.9836411476135254,29408.362352886274,0.7658427696064134,0.0
36,55,38400,0.0,0.01,2048,2.951613426208496,29727.47014256261,0.7741528682959014,0.0
37,56,38400,0.0,0.05,256,3.261840581893921,26900.149715181127,0.7005247321661752,0.0
38,57,38400,0.0,0.05,512,4.750654172897339,18469.877369854203,0.4809863898399532,0.0
39,58,38400,0.0,0.05,1024,3.254977226257324,26956.870632514634,0.7020018393884019,0.0
40,59,38400,0.0,0.05,2048,2.951732635498047,29726.26956275629,0.7741216031967784,0.0
41,60,38400,0.0,0.1,256,11.26348090171814,7790.131733309501,0.20286801388826825,0.0
42,61,38400,0.0,0.1,512,5.273876428604126,16637.47742061219,0.4332676411617758,0.0
43,62,38400,0.0,0.1,1024,2.98264479637146,29418.18620398415,0.7660985990620872,0.0
44,63,38400,0.0,0.1,2048,2.951547861099243,29728.13050279373,0.7741700651769201,0.0
45,64,38400,0.2,0.0,256,22.59242081642151,3883.78034886029,0.10114011325157005,3.75
46,65,38400,0.2,0.0,512,13.652242183685305,6427.076140273558,0.16737177448629056,1.875
47,66,38400,0.2,0.0,1024,9.183277606964111,9554.758524718844,0.2488218365812199,0.9375
48,67,38400,0.2,0.0,2048,7.152137279510498,12268.220892707099,0.31948491908091403,0.46875
49,68,38400,0.2,0.01,256,22.59196257591248,3883.85912490633,0.10114216471110235,3.75
50,69,38400,0.2,0.01,512,13.65224552154541,6427.0745689070745,0.1673717335652884,1.875
51,70,38400,0.2,0.01,1024,9.183148622512816,9554.892728719697,0.24882533147707545,0.9375
52,71,38400,0.2,0.01,2048,7.152114152908325,12268.26056241285,0.319485952146168,0.46875
53,72,38400,0.2,0.05,256,23.06406307220459,3804.3600438182875,0.09907187614110123,3.75
54,73,38400,0.2,0.05,512,15.652360439300535,5605.799862600216,0.14598437142188064,1.875
55,74,38400,0.2,0.05,1024,9.854712963104248,8903.760092101204,0.23186875239846885,0.9375
56,75,38400,0.2,0.05,2048,7.7556116580963135,11313.614434059682,0.2946253758869709,0.46875
57,76,38400,0.2,0.1,256,29.06524682044983,3018.863061512513,0.07861622556022169,3.75
58,77,38400,0.2,0.1,512,16.19118022918701,5419.246698386346,0.1411262161038111,1.875
59,78,38400,0.2,0.1,1024,13.183616399765016,6655.53345450524,0.17332118371107397,0.9375
60,79,38400,0.2,0.1,2048,9.15209174156189,9587.316482147246,0.24966970005591785,0.46875
61,80,38400,1.0,0.0,256,94.11969304084778,932.2597340167616,0.024277597240019835,18.75
62,81,38400,1.0,0.0,512,50.17947006225586,1748.6035602037882,0.04553655104697365,9.375
63,82,38400,1.0,0.0,1024,28.30942916870117,3099.4620017633397,0.0807151562959203,4.6875
64,83,38400,1.0,0.0,2048,18.57478952407837,4723.822032344327,0.12301619875896685,2.34375
65,84,38400,1.0,0.01,256,95.12095761299132,922.4465585911659,0.024022045796644943,18.75
66,85,38400,1.0,0.01,512,50.180288314819336,1748.575047028721,0.04553580851637294,9.375
67,86,38400,1.0,0.01,1024,28.309374809265137,3099.467953325589,0.08071531128452054,4.6875
68,87,38400,1.0,0.01,2048,18.57466459274292,4723.853804298646,0.12301702615361056,2.34375
69,88,38400,1.0,0.05,256,99.02224850654602,886.1038940577031,0.023075622241086016,18.75
70,89,38400,1.0,0.05,512,51.16871690750122,1714.79773781736,0.04465619108899375,9.375
71,90,38400,1.0,0.05,1024,29.310781955718998,2993.574178012667,0.07795766088574653,4.6875
72,91,38400,1.0,0.05,2048,18.57434320449829,4723.935540221436,0.12301915469326656,2.34375
73,92,38400,1.0,0.1,256,101.08678317070007,868.0066498093148,0.02260433983878424,18.75
74,93,38400,1.0,0.1,512,53.02160048484802,1654.8727159806238,0.043095643645328745,9.375
75,94,38400,1.0,0.1,1024,31.01140570640564,2829.4105991421025,0.07368256768599225,4.6875
76,95,38400,1.0,0.1,2048,19.57820963859558,4481.717257078784,0.11671138690309334,2.34375
77,96,230400,0.0,0.0,256,3.1896605491638184,27508.883358450923,0.11939619513216547,0.0
78,97,230400,0.0,0.0,512,3.0506632328033447,28762.270137359425,0.12483624191562251,0.0
79,98,230400,0.0,0.0,1024,2.9828038215637207,29416.617802910227,0.1276762925473534,0.0
80,99,230400,0.0,0.0,2048,2.951589345932007,29727.712671456866,0.12902653069208708,0.0
81,100,230400,0.0,0.01,256,3.19063138961792,27500.51299736865,0.1193598654399681,0.0
82,101,230400,0.0,0.01,512,3.051444292068481,28754.908037505418,0.12480428835722837,0.0
83,102,230400,0.0,0.01,1024,2.9828040599823,29416.61545160988,0.12767628234205677,0.0
84,103,230400,0.0,0.01,2048,2.95180606842041,29725.530053860937,0.1290170575254381,0.0
85,104,230400,0.0,0.05,256,3.1902451515197754,27503.842442390465,0.11937431615620862,0.0
86,105,230400,0.0,0.05,512,3.190579891204834,27500.956876797063,0.11936179199998725,0.0
87,106,230400,0.0,0.05,1024,3.255425453186035,26953.15904534883,0.11698419724543764,0.0
88,107,230400,0.0,0.05,2048,2.951854467391968,29725.042670387425,0.12901494214577874,0.0
89,108,230400,0.0,0.1,256,7.334490299224853,11963.203497490922,0.05192362629119324,0.0
90,109,230400,0.0,0.1,512,9.742677450180054,9006.148509861467,0.03908918624071817,0.0
91,111,230400,0.0,0.1,2048,4.9519126415252686,17719.21403948141,0.07690631093524918,0.0
92,112,230400,0.2,0.0,256,22.59271454811096,3883.7298551774306,0.016856466385318708,22.5
93,113,230400,0.2,0.0,512,13.652373313903809,6427.014408596638,0.02789502781508957,11.25
94,114,230400,0.2,0.0,1024,9.183183670043944,9554.856262564563,0.041470730306269805,5.625
95,115,230400,0.2,0.0,2048,7.15226149559021,12268.007825790393,0.05324656174388191,2.8125
96,116,230400,0.2,0.01,256,23.0641930103302,3804.3386109672433,0.016511886332323103,22.5
97,117,230400,0.2,0.01,512,14.19107699394226,6183.040232778333,0.026836112121433737,11.25
98,118,230400,0.2,0.01,1024,9.183509349822998,9554.517413508287,0.04146925960724083,5.625
99,119,230400,0.2,0.01,2048,7.15208911895752,12268.303504136069,0.05324784507003502,2.8125
100,120,230400,0.2,0.05,256,25.536853075027462,3435.9754407564424,0.014913087850505392,22.5
101,121,230400,0.2,0.05,512,14.13738226890564,6206.523833835058,0.02693803747324244,11.25
102,122,230400,0.2,0.05,1024,9.183004140853882,9555.043061522689,0.04147154106563667,5.625
103,123,230400,0.2,0.05,2048,7.565973520278931,11597.185711107959,0.05033500742668385,2.8125
104,124,230400,0.2,0.1,256,26.010743856430054,3373.3752669402807,0.01464138570720608,22.5
105,125,230400,0.2,0.1,512,13.652193546295166,6427.099037415224,0.027895395127670246,11.25
106,126,230400,0.2,0.1,1024,15.791808843612673,5556.298259998879,0.02411587786457847,5.625
107,127,230400,0.2,0.1,2048,10.696758031845093,8202.859197037007,0.03560268748713979,2.8125
108,128,230400,1.0,0.0,256,94.1191771030426,932.2648444316189,0.004046288387290013,112.5
109,129,230400,1.0,0.0,512,50.17782735824585,1748.660805370259,0.007589673634419526,56.25
110,130,230400,1.0,0.0,1024,28.30787491798401,3099.6321784739903,0.013453264663515582,28.125
111,131,230400,1.0,0.0,2048,18.572653770446777,4724.3652460490175,0.020505057491532194,14.0625
112,132,230400,1.0,0.01,256,96.12126278877258,912.8469336989289,0.003962009260846045,112.5
113,133,230400,1.0,0.01,512,50.18032431602478,1748.5737925368387,0.007589295974552252,56.25
114,134,230400,1.0,0.01,1024,28.307795524597168,3099.640871849509,0.013453302395180161,28.125
115,135,230400,1.0,0.01,2048,18.574451208114624,4723.908072270112,0.020503073230339026,14.0625
116,136,230400,1.0,0.05,256,95.11926507949828,922.4629724237859,0.004003745540033793,112.5
117,137,230400,1.0,0.05,512,54.182291984558105,1619.4220802805269,0.007028741667884231,56.25
118,138,230400,1.0,0.05,1024,29.309357166290283,2993.719701942745,0.012993575095237608,28.125
119,139,230400,1.0,0.05,2048,18.575864553451535,4723.548653550906,0.020501513253259142,14.0625
120,141,230400,1.0,0.1,512,54.18268871307373,1619.4102227863098,0.007028690203065581,56.25
121,142,230400,1.0,0.1,1024,28.298773288726807,3100.629101649222,0.013457591587019192,28.125
122,143,230400,1.0,0.1,2048,19.019939661026,4613.263846456744,0.020022846555801842,14.0625
